-4,-0.00041265,1,1,6,4.064e-05,3.2014e-05,1,0,0
-3,-0.00041265,1,1,6,5.157e-05,3.9126e-05,1,0,0
-2,-0.00041265,1,1,6,6.045e-05,5.2124e-05,1,0,0
-1,-0.00041265,1,1,6,8.743e-05,7.2995e-05,1,0,0
0,-0.00041265,1,1,6,8.1965e-05,8.1965e-05,1,0,0
1,-0.00041265,1,1,6,7.65e-05,7.2998e-05,1,0,0
2,-0.00041265,1,1,6,5.225e-05,5.2126e-05,1,0,0
3,-0.00041265,1,1,6,3.893e-05,3.9127e-05,1,0,0
4,-0.00041265,1,1,6,2.8e-05,3.2015e-05,1,0,0
-4,-0.00064813,1,1,6,8.388e-05,7.7182e-05,1,0,0
-3,-0.00064813,1,1,6,0.00010485,9.5574e-05,1,0,0
-2,-0.00064813,1,1,6,0.0001349,0.00012787,1,0,0
-1,-0.00064813,1,1,6,0.00017281,0.00016621,1,0,0
0,-0.00064813,1,1,6,0.00017537,0.00017537,1,0,0
1,-0.00064813,1,1,6,0.00017794,0.00016622,1,0,0
2,-0.00064813,1,1,6,0.00012466,0.00012787,1,0,0
3,-0.00064813,1,1,6,9.05e-05,9.5575e-05,1,0,0
4,-0.00064813,1,1,6,6.66e-05,7.7183e-05,1,0,0
-4,-0.001018,1,1,6,0.00014549,0.00012649,1,0,0
-3,-0.001018,1,1,6,0.00016838,0.00015854,1,0,0
-2,-0.001018,1,1,6,0.00020731,0.00020717,1,0,0
-1,-0.001018,1,1,6,0.00023941,0.00024397,1,0,0
0,-0.001018,1,1,6,0.00024607,0.00024607,1,0,0
1,-0.001018,1,1,6,0.00025273,0.00024397,1,0,0
2,-0.001018,1,1,6,0.0001957,0.00020717,1,0,0
3,-0.001018,1,1,6,0.00014788,0.00015854,1,0,0
4,-0.001018,1,1,6,0.00010724,0.00012649,1,0,0
