5.6319e-05,0.024981,1.2631
2.4474e-05,0.012863,0.80754
2.7768e-05,0.014351,0.8819
5.1369e-05,0.023716,1.2431
0.00010836,0.041014,1.6562
0.00029717,0.088713,2.5937
0.0012419,0.26345,4.6087
0.0037577,0.54986,6.0538
0.01009,0.99939,7.124
0.05383,2.5657,8.5549
0.20747,4.4861,8.7027
0.4226,5.8303,8.4245
1.3616,7.3971,7.9457
2.8246,7.6365,7.4063
3.6763,7.3185,6.8864
4.0495,6.7668,6.318
3.8628,6.0766,5.6644
3.4853,5.364,4.9984
3.0584,4.6617,4.3438
2.5607,3.8874,3.6223
2.1141,3.2045,2.9859
1.9333,2.9294,2.7296
2.1141,3.2045,2.9859
2.5607,3.8874,3.6223
3.0584,4.6617,4.3438
3.4853,5.364,4.9984
3.8628,6.0766,5.6644
4.0495,6.7668,6.318
3.6763,7.3185,6.8864
2.8246,7.6365,7.4063
1.3616,7.3971,7.9457
0.4226,5.8303,8.4245
0.20747,4.4861,8.7027
0.05383,2.5657,8.5549
0.01009,0.99939,7.124
0.0037577,0.54986,6.0538
0.0012419,0.26345,4.6087
0.00029717,0.088713,2.5937
0.00010836,0.041014,1.6562
5.1369e-05,0.023716,1.2431
2.7768e-05,0.014351,0.8819
2.4474e-05,0.012863,0.80754
5.6319e-05,0.024981,1.2631
