0.68154,1.4582,2.0461,0.28254,1.7181,3.6918
0.61208,1.3096,1.8375,0.25375,1.543,3.3155
0.61069,1.3067,1.8334,0.25317,1.5395,3.308
0.62652,1.3405,1.8809,0.25974,1.5794,3.3938
0.63474,1.3581,1.9056,0.26314,1.6001,3.4383
0.6594,1.4109,1.9796,0.27336,1.6623,3.5718
0.71138,1.5221,2.1357,0.29491,1.7933,3.8534
0.73958,1.5824,2.2203,0.3066,1.8644,4.0061
0.75927,1.6245,2.2794,0.31477,1.914,4.1128
0.82957,1.775,2.4905,0.34391,2.0913,4.4937
0.88839,1.9008,2.6671,0.3683,2.2395,4.8122
0.9211,1.9708,2.7653,0.38186,2.322,4.9894
1.0184,2.1789,3.0573,0.42218,2.5672,5.5163
1.1451,2.45,3.4376,0.4747,2.8866,6.2026
1.2411,2.6555,3.726,0.51453,3.1287,6.7229
1.4096,3.016,4.2318,0.58437,3.5535,7.6356
1.6985,3.6342,5.0991,0.70414,4.2817,9.2005
1.9666,4.2077,5.9039,0.81527,4.9575,10.653
2.2967,4.9141,6.895,0.95214,5.7898,12.441
3.0283,6.4795,9.0915,1.2555,7.6341,16.404
4.0081,8.5759,12.033,1.6616,10.104,21.711
4.6635,9.9782,14.001,1.9333,11.756,25.261
4.0081,8.5759,12.033,1.6616,10.104,21.711
3.0283,6.4795,9.0915,1.2555,7.6341,16.404
2.2967,4.9141,6.895,0.95214,5.7898,12.441
1.9666,4.2077,5.9039,0.81527,4.9575,10.653
1.6985,3.6342,5.0991,0.70414,4.2817,9.2005
1.4096,3.016,4.2318,0.58437,3.5535,7.6356
1.2411,2.6555,3.726,0.51453,3.1287,6.7229
1.1451,2.45,3.4376,0.4747,2.8866,6.2026
1.0184,2.1789,3.0573,0.42218,2.5672,5.5163
0.9211,1.9708,2.7653,0.38186,2.322,4.9894
0.88839,1.9008,2.6671,0.3683,2.2395,4.8122
0.82957,1.775,2.4905,0.34391,2.0913,4.4937
0.75927,1.6245,2.2794,0.31477,1.914,4.1128
0.73958,1.5824,2.2203,0.3066,1.8644,4.0061
0.71138,1.5221,2.1357,0.29491,1.7933,3.8534
0.6594,1.4109,1.9796,0.27336,1.6623,3.5718
0.63474,1.3581,1.9056,0.26314,1.6001,3.4383
0.62652,1.3405,1.8809,0.25974,1.5794,3.3938
0.61069,1.3067,1.8334,0.25317,1.5395,3.308
0.61208,1.3096,1.8375,0.25375,1.543,3.3155
0.68154,1.4582,2.0461,0.28254,1.7181,3.6918
