0.36756,1.9355,4.5365
0.31708,1.6697,3.9135
0.32503,1.7115,4.0115
0.34901,1.8378,4.3075
0.36578,1.9261,4.5144
0.40176,2.1156,4.9586
0.46666,2.4573,5.7595
0.5095,2.6829,6.2883
0.54621,2.8762,6.7414
0.63778,3.3584,7.8715
0.71694,3.7752,8.8485
0.76948,4.0519,9.497
0.88015,4.6347,10.863
0.99674,5.2486,12.302
1.0737,5.6537,13.251
1.1588,6.1021,14.302
1.2208,6.4286,15.068
1.2256,6.4535,15.126
1.1977,6.3068,14.782
1.1395,6.0002,14.064
1.0658,5.6121,13.154
0.98982,5.2122,12.217
0.89939,4.736,11.1
0.79389,4.1804,9.7983
0.68489,3.6064,8.4529
0.56648,2.9829,6.9916
0.43924,2.3129,5.4211
0.33134,1.7447,4.0894
0.28292,1.4898,3.4919
0.28807,1.5169,3.5553
0.29503,1.5536,3.6413
0.29068,1.5306,3.5876
0.29616,1.5595,3.6552
0.28465,1.4989,3.5131
0.25793,1.3582,3.1835
0.25046,1.3189,3.0913
0.23745,1.2503,2.9306
0.21047,1.1083,2.5977
0.19619,1.0331,2.4214
0.19103,1.0059,2.3578
0.18117,0.95401,2.2361
0.17964,0.94592,2.2171
0.21156,1.114,2.6111
